,Name of the Author,# of publication,Affiliation
58,7, Nikodinovic-Runic J.," Nikodinovic-Runic, J., Eco-Biotechnology & Drug Development Group, Laboratory for Microbial Molecular Genetics and Ecology, Institute of Molecular Genetics and Genetic Engineering, University of Belgrade, Belgrade, Serbia"
59,7, McCarthy S.," McCarthy, S., Department of Plastics Engineering, University of Massachusetts Lowell, One University Avenue, Lowell, MA 01854, United States"
60,7, Inoue Y.," Inoue, Y., Department of Biomolecular Engineering, Tokyo Institute of Technology, 4259-B55 Ngatsuta, Midori-ku, Yokohama 226-8501, Japan"
61,7, Guebitz G.M.," Guebitz, G.M., Department of Agrobiotechnology IFA-Tulln, Institute of Environmental Biotechnology, University of Natural Resources and Life Sciences, Vienna, Austria, Division Polymers Enzymes, Austrian Centre of Industrial Biotechnology, Graz, Austria"
62,7, Glenn G.," Glenn, G., USDA-ARS-Western Regional Research Center, 800 Buchanan Street, Albany, CA  94710, United States"
63,7, Flury M.," Flury, M., Department of Crop & Soil Sciences, Puyallup Research & Extension Center, Washington State University, Puyallup, WA  98371, United States, Department of Crop & Soil Sciences, Washington State University, Pullman, WA  99164, United States"
64,7, Erythropel H.C.," Erythropel, H.C., Department of Chemical Engineering, McGill University, 3610 University Street, Montréal, QC  H3A 0C5, Canada"
65,7, Cinelli P.," Cinelli, P., Department of Civil and Industrial Engineering, University of Pisa, Largo Lucio Lazzarino 2, Pisa, 56126, Italy"
66,7, Chaudhary D.R.," Chaudhary, D.R., CSIR-Central Salt and Marine Chemicals Research Institute, G. B. Marg, Gujarat, Bhavnagar, 364 002, India, Academy of Scientific and Innovative Research (AcSIR), Csir, UP, Ghaziabad, 201 002, India"
67,7, Albertsson A.-C.," Albertsson, A.-C., Department of Fibre and Polymer Technology, School of Chemical Science and Engineering, Royal Institute of Technology, SE-100 44, Stockholm, Sweden"
68,6,Yang S.-S.,"Yang, S.-S., State Key Laboratory of Urban Water Resource and Environment, School of Environment, Harbin Institute of Technology, Harbin, 150090, China"
69,6,Tachibana Y.,"Tachibana, Y., Division of Molecular Science, Faculty of Science and Technology, Gunma University, 1-5-1 Tenjin, Kiryu, Gunma  376-8515, Japan, Gunma University Center for Food Science and Wellness, 4-2 Aramaki, Maebashi, Gunma  371-8510, Japan"
70,6,Mueller R.-J.,"Mueller, R.-J., Gesellschaft für Biotechnologische Forschung mbH, Mascheroder Weg 1, D-38124 Braunschweig, Germany"
71,6, de Campos A.," de Campos, A., Nanotechnology National Laboratory for Agriculture (LNNA), Embrapa Instrumentation, PO Box 741, São Carlos, SP, Brazil"
72,6, Yoon J.-S.," Yoon, J.-S., Department of Polymer Science and Engineering, Inha University, 402-751 Incheon, South Korea"
73,6, Yang Y.-H.," Yang, Y.-H., Department of Biological Engineering, College of Engineering, Konkuk University, Seoul, South Korea, Institute for Ubiquitous Information Technology and Application, Konkuk University, Seoul, South Korea"
